celsius_temperature,specific_heat_capacity
207.47,0.5402
207.60,0.5402
207.74,0.5402
207.88,0.5403
208.00,0.5403
208.14,0.5405
208.27,0.5405
208.41,0.5403
208.54,0.5404
208.67,0.5405
208.81,0.5405
208.93,0.5405
209.07,0.5405
209.20,0.5406
209.34,0.5406
209.47,0.5406
209.60,0.5407
209.73,0.5407
209.87,0.5408
210.00,0.5409
210.13,0.5408
210.26,0.5409
210.39,0.5410
210.53,0.5409
210.66,0.5410
210.79,0.5410
210.91,0.5409
211.05,0.5410
211.18,0.5410
211.32,0.5410
211.44,0.5410
211.57,0.5412
211.71,0.5412
211.84,0.5413
211.97,0.5413
212.10,0.5413
212.24,0.5413
212.37,0.5413
212.50,0.5414
212.63,0.5415
212.76,0.5415
212.90,0.5415
213.03,0.5415
213.16,0.5415
213.29,0.5415
213.42,0.5416
213.56,0.5418
213.69,0.5418
213.82,0.5419
213.95,0.5419
214.08,0.5420
214.21,0.5420
214.34,0.5421
214.48,0.5422
214.61,0.5423
214.74,0.5423
214.88,0.5424
215.01,0.5424
215.14,0.5425
215.27,0.5425
215.40,0.5425
215.53,0.5426
215.67,0.5426
215.80,0.5427
215.93,0.5427
216.06,0.5427
216.20,0.5427
216.33,0.5428
216.46,0.5429
216.59,0.5429
216.72,0.5430
216.86,0.5431
216.99,0.5431
217.13,0.5431
217.26,0.5432
217.39,0.5432
217.52,0.5432
217.66,0.5433
217.79,0.5433
217.92,0.5434
218.05,0.5435
218.19,0.5436
218.31,0.5436
218.45,0.5437
218.58,0.5438
218.71,0.5439
218.85,0.5439
218.98,0.5440
219.11,0.5439
219.24,0.5440
219.37,0.5440
219.51,0.5440
219.64,0.5440
219.78,0.5441
219.91,0.5442
220.04,0.5442
220.17,0.5443
220.30,0.5444
220.44,0.5445
220.57,0.5445
220.71,0.5446
220.83,0.5446
220.97,0.5446
221.10,0.5446
221.23,0.5447
221.36,0.5448
221.50,0.5447
221.63,0.5448
221.76,0.5449
221.90,0.5449
222.03,0.5449
222.17,0.5449
222.30,0.5449
222.43,0.5451
222.56,0.5451
222.69,0.5451
222.82,0.5451
222.96,0.5451
223.09,0.5451
223.22,0.5453
223.35,0.5453
223.49,0.5454
223.61,0.5454
223.74,0.5454
223.88,0.5454
224.02,0.5455
224.15,0.5455
224.27,0.5455
224.40,0.5456
224.54,0.5456
224.67,0.5456
224.80,0.5457
224.94,0.5458
225.06,0.5458
225.19,0.5458
225.32,0.5459
225.46,0.5460
225.59,0.5459
225.72,0.5460
225.85,0.5460
225.99,0.5460
226.12,0.5460
226.25,0.5460
226.38,0.5461
226.51,0.5461
226.64,0.5462
226.78,0.5463
226.91,0.5464
227.04,0.5464
227.18,0.5465
227.31,0.5465
227.44,0.5465
227.57,0.5465
227.70,0.5464
227.83,0.5465
227.97,0.5466
228.09,0.5466
228.23,0.5467
228.36,0.5468
228.49,0.5468
228.62,0.5469
228.75,0.5469
228.89,0.5470
229.02,0.5471
229.15,0.5472
229.28,0.5472
229.41,0.5473
229.55,0.5473
229.68,0.5474
229.81,0.5473
229.94,0.5474
230.08,0.5474
230.21,0.5474
230.34,0.5475
230.47,0.5476
230.61,0.5476
230.74,0.5477
230.87,0.5477
231.00,0.5478
231.13,0.5479
231.26,0.5479
231.39,0.5479
231.53,0.5479
231.67,0.5479
231.80,0.5479
231.93,0.5480
232.06,0.5480
232.19,0.5482
232.33,0.5483
232.46,0.5482
232.59,0.5483
232.73,0.5484
232.86,0.5485
232.98,0.5485
233.12,0.5486
233.25,0.5485
233.38,0.5486
233.52,0.5487
233.65,0.5488
233.78,0.5489
233.91,0.5491
234.05,0.5491
234.18,0.5491
234.31,0.5492
234.44,0.5493
234.58,0.5493
234.71,0.5493
234.84,0.5494
234.97,0.5495
235.10,0.5495
235.23,0.5496
235.37,0.5496
235.50,0.5497
235.64,0.5497
235.77,0.5497
235.90,0.5497
236.03,0.5498
236.16,0.5500
236.29,0.5500
236.43,0.5500
236.56,0.5500
236.70,0.5501
236.83,0.5502
236.96,0.5503
237.09,0.5503
237.23,0.5503
237.36,0.5504
237.49,0.5505
237.62,0.5505
237.75,0.5504
237.88,0.5505
238.01,0.5505
238.14,0.5506
238.27,0.5506
238.40,0.5506
238.53,0.5506
238.66,0.5507
238.79,0.5507
238.93,0.5508
239.06,0.5508
239.19,0.5508
239.32,0.5509
239.45,0.5509
239.58,0.5509
239.72,0.5508
239.85,0.5510
239.98,0.5511
240.11,0.5511
240.24,0.5511
240.38,0.5512
240.51,0.5512
240.64,0.5513
240.78,0.5514
240.91,0.5513
241.03,0.5513
241.16,0.5513
241.30,0.5513
241.43,0.5513
241.56,0.5513
241.69,0.5514
241.82,0.5515
241.95,0.5516
242.09,0.5516
242.22,0.5516
242.35,0.5516
242.49,0.5517
242.62,0.5518
242.75,0.5518
242.88,0.5518
243.01,0.5518
243.14,0.5518
243.28,0.5519
243.41,0.5520
243.54,0.5521
243.67,0.5520
243.80,0.5521
243.93,0.5521
244.07,0.5522
244.20,0.5523
244.33,0.5523
244.47,0.5524
244.59,0.5525
244.73,0.5526
244.85,0.5526
244.99,0.5527
245.12,0.5527
245.25,0.5528
245.39,0.5528
245.51,0.5528
245.65,0.5529
245.78,0.5529
